# Time,Theta 1,Theta 2,Tape Position,Tape Speed,Tension Arm 1 Height,Tension Arm 2 Height
5.7885003662e+02,3.8278994560e+00,2.8518445492e+00,2.3046769714e+02,7.7514743805e+00,4.0163934231e-01,1.2605042756e-01
5.7887005615e+02,3.7604000568e+00,2.7613339424e+00,2.3047705078e+02,7.0836715698e+00,4.0163934231e-01,1.2605042756e-01
5.7889001465e+02,3.6905994415e+00,2.6761927605e+00,2.3048805237e+02,8.0812902451e+00,3.9344263077e-01,1.2605042756e-01
5.7891003418e+02,3.6207993031e+00,2.5925858021e+00,2.3049839783e+02,8.1041307449e+00,4.0163934231e-01,1.1764705926e-01
5.7893005371e+02,3.5536835194e+00,2.5093622208e+00,2.3050808716e+02,7.1404871941e+00,3.9344263077e-01,1.2605042756e-01
5.7895001221e+02,3.4877181053e+00,2.4219200611e+00,2.3051779175e+02,7.0349831581e+00,3.9344263077e-01,1.2605042756e-01
5.7897003174e+02,3.4198353291e+00,2.3340942860e+00,2.3052812195e+02,7.9141926765e+00,3.9344263077e-01,1.2605042756e-01
5.7899005127e+02,3.3504185677e+00,2.2508707047e+00,2.3053717041e+02,6.8521323204e+00,3.9344263077e-01,1.2605042756e-01
5.7905004883e+02,3.1429350376e+00,1.9935297966e+00,2.3056755066e+02,7.0467777252e+00,3.9344263077e-01,1.2605042756e-01
5.7907000732e+02,3.0746686459e+00,1.9076216221e+00,2.3057756042e+02,7.8513793945e+00,4.0163934231e-01,1.2605042756e-01
5.7909002686e+02,3.0071694851e+00,1.8240146637e+00,2.3058822632e+02,7.1009855270e+00,4.0163934231e-01,1.2605042756e-01
5.7911004639e+02,2.9377527237e+00,1.7411745787e+00,2.3059919739e+02,9.3799238205e+00,4.0163934231e-01,1.2605042756e-01
5.7913000488e+02,2.8679523468e+00,1.6529653072e+00,2.3060859680e+02,6.9228067398e+00,4.0163934231e-01,1.2605042756e-01
5.7915002441e+02,2.8012199402e+00,1.5643724203e+00,2.3061860657e+02,7.9373593330e+00,3.9344263077e-01,1.2605042756e-01
5.7917004395e+02,2.7356383801e+00,1.4792312384e+00,2.3062863159e+02,7.9679045677e+00,3.8524588943e-01,1.2605042756e-01
5.7919000244e+02,2.6708238125e+00,1.3956242800e+00,2.3063865662e+02,7.7325792313e+00,3.8524588943e-01,1.2605042756e-01
5.7921002197e+02,2.6033244133e+00,1.3108667135e+00,2.3064898682e+02,8.1689262390e+00,3.7704917789e-01,1.2605042756e-01
5.7923004150e+02,2.5342910290e+00,1.2215067148e+00,2.3065899658e+02,6.9901189804e+00,3.7704917789e-01,1.2605042756e-01
5.7925000000e+02,2.4664082527e+00,1.1348315477e+00,2.3066966248e+02,8.1021108627e+00,3.6885246634e-01,1.2605042756e-01
5.7927001953e+02,2.3996758461e+00,1.0512244701e+00,2.3067903137e+02,6.8448138237e+00,3.6065572500e-01,1.1764705926e-01
5.7929003906e+02,2.3333272934e+00,9.6876806021e-01,2.3068807983e+02,6.3072199821e+00,3.6885246634e-01,1.1764705926e-01
5.7930999756e+02,2.2665951252e+00,8.8362687826e-01,2.3069810486e+02,7.8287487030e+00,3.6885246634e-01,1.2605042756e-01
5.7933001709e+02,2.1987123489e+00,7.9656815529e-01,2.3070780945e+02,7.6932573318e+00,3.6885246634e-01,1.2605042756e-01
5.7935003662e+02,2.1269941330e+00,7.1296113729e-01,2.3071717834e+02,7.2347936630e+00,3.7704917789e-01,1.2605042756e-01
5.7937005615e+02,2.0560433865e+00,6.3203865290e-01,2.3072720337e+02,8.1884269714e+00,3.7704917789e-01,1.2605042756e-01
5.7939001465e+02,1.9866265059e+00,5.4996567965e-01,2.3073721313e+02,7.9133377075e+00,3.8524588943e-01,1.2605042756e-01
5.7941003418e+02,1.9179766178e+00,4.6367403865e-01,2.3074723816e+02,7.0350646973e+00,3.8524588943e-01,1.2605042756e-01
5.7943005371e+02,1.8481761217e+00,3.7623175979e-01,2.3075691223e+02,6.9859485626e+00,3.9344263077e-01,1.1764705926e-01
